WKT,left,top,right,bottom,id
"POLYGON ((-168685.695649587 6900378.11301825,-68685.6956495874 6900378.11301825,-68685.6956495874 6800378.11301825,-168685.695649587 6800378.11301825,-168685.695649587 6900378.11301825))",-168685.69564958743,6900378.113018246,-68685.69564958743,6800378.113018246,51
"POLYGON ((-168685.695649587 6800378.11301825,-68685.6956495874 6800378.11301825,-68685.6956495874 6700378.11301825,-168685.695649587 6700378.11301825,-168685.695649587 6800378.11301825))",-168685.69564958743,6800378.113018246,-68685.69564958743,6700378.113018246,52
"POLYGON ((-168685.695649587 6700378.11301825,-68685.6956495874 6700378.11301825,-68685.6956495874 6600378.11301825,-168685.695649587 6600378.11301825,-168685.695649587 6700378.11301825))",-168685.69564958743,6700378.113018246,-68685.69564958743,6600378.113018246,53
"POLYGON ((-168685.695649587 6600378.11301825,-68685.6956495874 6600378.11301825,-68685.6956495874 6500378.11301825,-168685.695649587 6500378.11301825,-168685.695649587 6600378.11301825))",-168685.69564958743,6600378.113018246,-68685.69564958743,6500378.113018246,54
"POLYGON ((-68685.6956495874 7100378.11301825,31314.3043504126 7100378.11301825,31314.3043504126 7000378.11301825,-68685.6956495874 7000378.11301825,-68685.6956495874 7100378.11301825))",-68685.69564958743,7100378.113018246,31314.304350412567,7000378.113018246,68
"POLYGON ((-68685.6956495874 7000378.11301825,31314.3043504126 7000378.11301825,31314.3043504126 6900378.11301825,-68685.6956495874 6900378.11301825,-68685.6956495874 7000378.11301825))",-68685.69564958743,7000378.113018246,31314.304350412567,6900378.113018246,69
"POLYGON ((-68685.6956495874 6900378.11301825,31314.3043504126 6900378.11301825,31314.3043504126 6800378.11301825,-68685.6956495874 6800378.11301825,-68685.6956495874 6900378.11301825))",-68685.69564958743,6900378.113018246,31314.304350412567,6800378.113018246,70
"POLYGON ((-68685.6956495874 6800378.11301825,31314.3043504126 6800378.11301825,31314.3043504126 6700378.11301825,-68685.6956495874 6700378.11301825,-68685.6956495874 6800378.11301825))",-68685.69564958743,6800378.113018246,31314.304350412567,6700378.113018246,71
"POLYGON ((-68685.6956495874 6700378.11301825,31314.3043504126 6700378.11301825,31314.3043504126 6600378.11301825,-68685.6956495874 6600378.11301825,-68685.6956495874 6700378.11301825))",-68685.69564958743,6700378.113018246,31314.304350412567,6600378.113018246,72
"POLYGON ((-68685.6956495874 6600378.11301825,31314.3043504126 6600378.11301825,31314.3043504126 6500378.11301825,-68685.6956495874 6500378.11301825,-68685.6956495874 6600378.11301825))",-68685.69564958743,6600378.113018246,31314.304350412567,6500378.113018246,73
"POLYGON ((-68685.6956495874 6500378.11301825,31314.3043504126 6500378.11301825,31314.3043504126 6400378.11301825,-68685.6956495874 6400378.11301825,-68685.6956495874 6500378.11301825))",-68685.69564958743,6500378.113018246,31314.304350412567,6400378.113018246,74
"POLYGON ((31314.3043504126 7100378.11301825,131314.304350413 7100378.11301825,131314.304350413 7000378.11301825,31314.3043504126 7000378.11301825,31314.3043504126 7100378.11301825))",31314.304350412567,7100378.113018246,131314.30435041257,7000378.113018246,87
"POLYGON ((31314.3043504126 7000378.11301825,131314.304350413 7000378.11301825,131314.304350413 6900378.11301825,31314.3043504126 6900378.11301825,31314.3043504126 7000378.11301825))",31314.304350412567,7000378.113018246,131314.30435041257,6900378.113018246,88
"POLYGON ((31314.3043504126 6900378.11301825,131314.304350413 6900378.11301825,131314.304350413 6800378.11301825,31314.3043504126 6800378.11301825,31314.3043504126 6900378.11301825))",31314.304350412567,6900378.113018246,131314.30435041257,6800378.113018246,89
"POLYGON ((31314.3043504126 6800378.11301825,131314.304350413 6800378.11301825,131314.304350413 6700378.11301825,31314.3043504126 6700378.11301825,31314.3043504126 6800378.11301825))",31314.304350412567,6800378.113018246,131314.30435041257,6700378.113018246,90
"POLYGON ((31314.3043504126 6700378.11301825,131314.304350413 6700378.11301825,131314.304350413 6600378.11301825,31314.3043504126 6600378.11301825,31314.3043504126 6700378.11301825))",31314.304350412567,6700378.113018246,131314.30435041257,6600378.113018246,91
"POLYGON ((31314.3043504126 6600378.11301825,131314.304350413 6600378.11301825,131314.304350413 6500378.11301825,31314.3043504126 6500378.11301825,31314.3043504126 6600378.11301825))",31314.304350412567,6600378.113018246,131314.30435041257,6500378.113018246,92
"POLYGON ((31314.3043504126 6500378.11301825,131314.304350413 6500378.11301825,131314.304350413 6400378.11301825,31314.3043504126 6400378.11301825,31314.3043504126 6500378.11301825))",31314.304350412567,6500378.113018246,131314.30435041257,6400378.113018246,93
"POLYGON ((131314.304350413 7200378.11301825,231314.304350413 7200378.11301825,231314.304350413 7100378.11301825,131314.304350413 7100378.11301825,131314.304350413 7200378.11301825))",131314.30435041257,7200378.113018246,231314.30435041257,7100378.113018246,105
